country,age,sex,score
US,20s,f,88.4387509564736
US,20s,f,87.187615794357
US,20s,f,88.7439663632817
CA,20s,f,82.5848568053473
GB,20s,f,79.5538181705134
US,20s,f,88.5566585431142
AU,20s,f,78.7956769822077
US,20s,f,90.4940182653566
US,20s,f,77.3665785079911
US,20s,f,93.1305981097033
US,20s,f,75.196944744814
US,20s,f,79.454867577269
US,20s,f,75.4604060025442
US,20s,f,73.3803472348622
AU,20s,f,89.406168017359
US,20s,f,89.1730753438813
US,20s,f,87.6355293606009
US,20s,f,82.4378560585458
US,20s,f,77.753851136991
US,20s,f,84.0831078965927
US,20s,f,80.8535693124646
US,20s,f,92.713045244593
US,20s,f,77.7817376667545
US,20s,f,84.0595654433682
US,20s,f,73.5385614491644
AU,20s,f,72.5131898586239
US,20s,f,85.4623150257837
US,20s,f,78.6253687171709
CA,20s,f,85.7645239414913
US,20s,f,87.0012150633903
US,20s,f,84.6242103681323
US,20s,f,87.250177170028
US,20s,f,83.5709872788617
US,20s,f,84.3420714893866
GB,20s,f,86.050355594073
US,20s,f,70.3350300944987
GB,20s,f,76.3033306314832
US,20s,f,79.8712447995231
US,20s,f,88.5815034041159
GB,20s,f,91.331510344753
US,20s,f,67.2296989531744
US,20s,f,90.4378258822752
CA,20s,f,78.3693533213366
US,20s,f,70.063390476363
US,20s,f,85.7923542238062
US,20s,f,84.8460516227143
US,20s,f,81.3579777787839
US,20s,f,90.4279442953079
GB,20s,f,83.7691299173804
US,20s,f,81.0713370818467
US,20s,f,72.6421871355602
US,20s,f,75.9384223038242
US,20s,f,80.5931702610992
GB,20s,f,89.9414197275681
US,20s,f,82.3446976996604
US,20s,f,84.0433796645985
US,20s,f,78.0467965418384
US,20s,f,75.0540944791976
US,20s,f,79.8314208608298
US,20s,f,79.5676030041206
US,20s,f,56.3264118064018
US,20s,f,87.8306469037419
US,20s,f,76.1381018552042
US,20s,f,89.8267139237197
US,20s,f,71.2521474409316
US,20s,f,70.9920828718515
US,20s,f,73.579843519699
US,20s,f,85.122944911321
US,20s,f,77.7683783854757
GB,20s,f,80.4427995124743
US,20s,f,89.4748708078017
US,20s,f,88.3469282161622
US,20s,f,81.9523185846351
US,20s,f,79.6137624553272
CA,20s,f,82.0096632119246
CA,20s,f,88.0391117717539
GB,20s,f,84.4778099186009
US,20s,f,83.2391578083237
US,20s,f,87.2036637605301
US,20s,f,69.1808977652164
US,20s,f,72.7389534314474
US,20s,f,91.084614185439
US,20s,f,84.2726417950222
US,20s,f,84.1327710066079
US,20s,f,76.9971012359574
US,20s,f,85.3997074655213
US,20s,f,75.381759305795
US,20s,f,87.2851604562519
US,20s,f,73.9576664708909
US,20s,f,87.6687869562634
US,20s,f,81.8728681476343
GB,20s,f,90.4139798688924
US,20s,f,77.3943202481383
US,20s,f,71.8605714894477
US,20s,f,90.9390332288153
US,20s,f,85.2625917133299
CA,20s,f,86.5994561075543
US,20s,f,81.2391819166286
US,20s,f,87.443599455236
US,20s,f,68.9442627924672
GB,20s,f,83.3700669308504
GB,20s,f,81.8706156597251
GB,20s,f,87.261241785295
US,20s,f,77.4128862434909
US,20s,f,83.4912756191833
AU,20s,f,67.6994650846436
US,20s,f,87.4932839402131
US,20s,f,80.2714439729849
US,20s,f,91.7417573232558
US,20s,f,74.6771063123431
CA,20s,f,86.9035310688473
AU,20s,f,78.9521208831242
US,20s,f,89.4976494922524
US,20s,f,84.3666565404939
CA,20s,f,77.1168573803845
US,20s,f,68.069336208559207
US,20s,f,74.2746181431271
US,20s,f,85.5250649398104
US,20s,f,77.3797399940945
US,20s,f,65.9563515867506
US,20s,f,64.714862228859
US,20s,f,82.7162063458846
US,20s,f,76.9449449366047
US,20s,f,91.3367939447718
NZ,20s,f,70.2497666080793
US,20s,f,87.8747177132893
US,20s,f,50.7198382701193
US,20s,f,78.5390650587423
US,20s,f,75.7616000870864
US,20s,f,75.729406944343
CA,20s,f,79.8898162497651
CA,20s,f,80.9571304136798
US,20s,f,78.0213195298399
US,20s,f,88.2809618354908
US,20s,f,87.2405031962054
US,20s,f,76.1662280275708
GB,20s,f,81.6699451811257
CA,20s,f,91.1290215328336
US,20s,f,88.9568233685124
GB,20s,f,87.6891186372155
US,20s,f,88.751187694392
US,20s,f,82.2570135151701
US,20s,f,77.7711674216248
US,20s,f,82.3976237060768
US,20s,f,83.6450929509565
GB,20s,f,87.0806095766879
US,20s,f,92.3878866854856
US,20s,f,73.0291978943916
AU,20s,f,93.5276008499343
CA,20s,f,73.4234849966708
CA,20s,f,75.6809331476688
CA,20s,f,83.0217156736624
US,20s,f,85.7867700225186
US,20s,f,81.0716232018811
US,20s,f,73.2752886911233
US,20s,f,87.5874577666677
US,20s,f,88.6357968761807
US,20s,f,81.3814661332539
GB,20s,f,84.5901013396326
GB,20s,f,85.7686285228868
US,20s,f,84.3983530873499
US,20s,f,65.3503450786784
US,20s,f,77.3780675516242
US,20s,f,79.7223737906842
US,20s,f,78.6092679293472
US,20s,f,81.0996895567292
US,20s,f,91.0408320304539
AU,20s,f,84.0378394793896
US,20s,f,74.8853899893306
US,20s,f,76.9182369467758
GB,20s,f,91.2189471169508
US,20s,f,82.9950038321494
US,20s,f,74.2663767720972
GB,20s,f,77.8918635676659
US,20s,f,82.1989652656373
GB,20s,f,78.7139057935703
US,20s,f,78.1522579136349
US,20s,f,89.6964129149204
US,20s,f,87.9015381691889
GB,20s,f,81.7734355727831
US,20s,f,85.4559501366956
US,20s,f,83.0051062717324
CA,20s,f,79.8510907661347
US,20s,f,93.5947622205796
US,20s,f,82.0422696925345
US,20s,f,80.3538393051851
US,20s,f,80.9792327916338
US,20s,f,78.7244592039358
US,20s,f,84.4805484371526
US,20s,f,90.7718786947607
GB,20s,f,83.6097883215795
US,20s,f,80.7121559267952
US,20s,f,82.5368710926601
US,20s,f,79.4327756478673
US,20s,f,86.6079947778157
US,20s,f,84.3747197694722
US,20s,f,76.2331012459028
US,20s,f,82.4715015788873
GB,20s,f,84.4832663734754
US,20s,f,87.0723669261982
US,20s,f,72.4600234556766
CA,20s,f,82.5377103650854
GB,20s,f,80.3023699848425
US,20s,f,74.1939353091376
US,20s,f,86.8450894064847
CA,20s,f,88.3850459164629
US,20s,f,90.1632026935528
AU,20s,f,82.1048104337284
US,20s,f,85.6949288575422
US,20s,f,94.5050052325574
US,20s,f,89.4425977775384
GB,20s,f,85.5551985402902
CA,20s,f,82.384479806448
AU,20s,f,90.5312583751289
US,20s,f,85.9241762775041
US,20s,f,80.1123740495227
US,20s,f,84.3038766350738
US,20s,f,69.1478106237593
US,20s,f,83.2423873245716
US,20s,f,82.8714633449202
AU,20s,f,83.8354052000102
US,20s,f,87.5990323190178
US,20s,f,89.5594276753919
US,20s,f,71.8018241226673
US,20s,f,83.4036916849159
US,20s,f,89.2220077504005
US,20s,f,91.9067138284888
CA,20s,f,78.7650385960227
US,20s,f,74.5562487060115
US,20s,f,87.9243226899278
US,20s,f,88.4475792525336
US,20s,f,86.1976649168701
US,20s,f,87.5574473069892
US,20s,f,84.9411457777023
US,20s,f,78.2358585812506
US,20s,f,95.0770854912532
US,20s,f,75.3445435847555
US,20s,f,66.7833564182123
US,20s,f,80.3811618348672
US,20s,f,75.1508533245041
US,20s,f,83.0458966394266
US,20s,f,75.3242525848604
US,20s,f,91.3816321463812
GB,20s,f,87.3314847692936
AU,20s,f,77.4527767584437
US,20s,f,81.38471472831
US,20s,f,82.0510504501207
US,20s,f,90.6201098735134
CA,20s,f,79.9323969947485
US,20s,f,76.5846800946054
US,20s,f,93.0853611833993
CA,20s,f,81.2302951479242
US,20s,f,80.6686448908988
US,20s,f,82.6415840358961
US,20s,f,84.9854153625312
US,20s,f,77.0308803944361
US,20s,f,83.6775453982963
US,20s,f,78.9309073949144
US,20s,f,74.9626798998742
US,20s,f,87.8291828735244
GB,20s,f,73.8309140361491
CA,20s,f,76.9107496809392
US,20s,f,76.124782966716
US,20s,f,91.7017934843898
US,20s,f,77.4585751550538
GB,20s,f,90.3055053692134
US,20s,f,82.1864772588015
US,20s,f,81.655658595264
US,20s,f,87.9167515859341
US,20s,f,84.1047864806439
US,20s,f,81.2369363382459
US,20s,f,91.3518870349175
