Temperature,Strategy,Score,Model,Control,Words
Mid,Original Instructions,91.43268486271513,Randomization,Randomization,"['tossing', 'effortlessly', 'outspoke', 'pluperfects', 'postcondition', 'hobbed', 'enforceable', 'compensate', 'syntheses', 'tidying']"
Mid,Original Instructions,,Randomization,Randomization,"['division', 'overpiperinations', 'methodizes', 'misatherogenesisiveness', 'remarried', 'outagritourism', 'deathlessly', 'protocols', 'enviablenesses', 'abominations']"
Mid,Original Instructions,87.56233474557452,Randomization,Randomization,"['miswhoredomably', 'rego', 'safeguard', 'outatbashisability', 'solidifying', 'multicystic', 'get-out', 'crumpling', 'outnoblessisable', 'unmaintainable']"
Mid,Original Instructions,95.89754096974981,Randomization,Randomization,"['glutei', 'bumblebees', 'misbiogenesisably', 'recitals', 'platform', 'dimmers', 'chattiest', 'psychoanalysed', 'gel', 'dunker']"
Mid,Original Instructions,,Randomization,Randomization,"['gateaus', 'cicatrix', 'snugger', 'altos', 'photographies', 'fifty-firsts', 'disguisedly', 'mistechnospeakations', 'trashes', 'chemophobiatisability']"
Mid,Original Instructions,,Randomization,Randomization,"['autism', 'piked', 'pentactin', 'vigilances', 'miswheatgermably', 'strobes', 'wrap', 'misadamsitisable', 'refunds', 'overchemophobiaation']"
Mid,Original Instructions,,Randomization,Randomization,"['offered', 'blessing', 'whirled', 'legumin', 'axiologies', 'postmodifying', 'woodenest', 'stakeholder', 'agroecologists', 'cliches']"
Mid,Original Instructions,,Randomization,Randomization,"['glutamates', 'misorthodontiatisability', 'mischlorpromazinably', 'baroquenesses', 'filamented', 'misandriably', 'descendentalismation', 'outcyberoptimismisable', 'overoseltamivirible', 'impetuousnesses']"
Mid,Original Instructions,,Randomization,Randomization,"['emetophobes', 'decodable', 'virtualizers', 'misneurogenesisations', 'adwarally', 'folklorist', 'monetize', 'outmontelukastally', 'forklifts', 'rcpt']"
Mid,Original Instructions,94.92954685012886,Randomization,Randomization,"['counterpunched', 'redetermination', 'dividers', 'computer-literate', 'outcyberpiracy', 'rankings', 'abbr', 'carbonylation', 'cybersquattingation', 'aberrant']"
Mid,Original Instructions,,Randomization,Randomization,"['darning', 'outrosaceativeness', 'inexcusably', 'reflectivenesses', 'forfeiture', 'defensiveness', 'croaky', 'overaerophagially', 'stallholders', 'misgobbledygookisers']"
Mid,Original Instructions,,Randomization,Randomization,"['outlignocaine', 'neurogeneticists', 'washtubs', 'fisherwoman', 'flagtail', 'niggler', 'towlines', 'tetrads', 'knock-kneed', 'sofas']"
Mid,Original Instructions,,Randomization,Randomization,"['ghettoed', 'i-mode', 'headroom', 'tribadismisability', 'cyberbusiness', 'shopping', 'blameable', 'gamier', 'misgeekerisers', 'autologous']"
Mid,Original Instructions,85.15129065971071,Randomization,Randomization,"['risqu̩', 'crawlspaces', 'madeleines', 'scaly', 'misinterconnectivitisers', 'palatalized', 'kingbirds', 'shewed', 'outoximetry', 'bequests']"
Mid,Original Instructions,,Randomization,Randomization,"['wrongheadedly', 'tagetes', 'dribblers', 'unshrinkability', 'resubmits', 'warfarible', 'misprogressivism', 'birthright', 'overedelweissably', 'nacho']"
Mid,Original Instructions,,Randomization,Randomization,"['overwasabiiser', 'skimpiest', 'kipping', 'buckytube', 'rug', 'misarborealiticativeness', 'housewifeship', 'cherished', 'renounces', 'absolves']"
